TIGR00001	50S ribosomal protein L35
TIGR02227	signal peptidase I
TIGR02228	signal peptidase I
TIGR02231	mucoidy inhibitor MuiA family protein
TIGR02234	TIGR02234 family membrane protein
TIGR02235	2-carboxy-1,4-naphthoquinone phytyltransferase
TIGR02236	DNA repair and recombination protein RadA
TIGR02237	DNA repair and recombination protein RadB
TIGR02238	meiotic recombinase Dmc1
TIGR02239	DNA repair protein RAD51
TIGR02240	poly(3-hydroxyalkanoate) depolymerase
TIGR02243	putative baseplate assembly protein
TIGR02245	HAD-IIID family hydrolase
TIGR02246	SgcJ/EcaC family oxidoreductase
TIGR02248	DNA mismatch repair endonuclease MutH
TIGR02249	integron integrase
TIGR02253	TIGR02253 family HAD-type hydrolase
TIGR02254	noncanonical pyrimidine nucleotidase, YjjG family
TIGR02257	cobaltochelatase subunit CobN
TIGR02258	RNA 2',3'-cyclic phosphodiesterase
TIGR02259	benzoyl-CoA reductase subunit A
TIGR02260	benzoyl-CoA reductase subunit B
TIGR02261	benzoyl-CoA reductase subunit D
TIGR02262	benzoate-CoA ligase family protein
TIGR02263	benzoyl-CoA reductase subunit C
TIGR02265	TIGR02265 family protein
TIGR02266	TIGR02266 family protein
TIGR02267	DUSAM domain-containing protein
TIGR02269	TIGR02269 family lipoprotein
TIGR02270	TIGR02270 family protein
TIGR02271	YsnF/AvaK domain-containing protein
TIGR02272	gentisate 1,2-dioxygenase
TIGR02273	16S rRNA processing protein RimM
TIGR02274	dCTP deaminase
TIGR02275	(2,3-dihydroxybenzoyl)adenylate synthase
TIGR02276	YVTN family beta-propeller repeat-containing protein
TIGR02277	phenylacetic acid degradation operon negative regulatory protein PaaX
TIGR02278	phenylacetic acid degradation bifunctional protein PaaZ
TIGR02279	3-hydroxyacyl-CoA dehydrogenase PaaC
TIGR02280	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase
TIGR02281	TIGR02281 family clan AA aspartic protease
TIGR02282	lytic murein transglycosylase B
TIGR02283	lytic murein transglycosylase
TIGR02284	PA2169 family four-helix-bundle protein
TIGR02285	TIGR02285 family protein
TIGR02286	hydroxyphenylacetyl-CoA thioesterase PaaI
TIGR02287	phenylacetic acid degradation protein PaaY
TIGR02288	phenylacetic acid degradation protein PaaN
TIGR02289	M3 family oligoendopeptidase
TIGR02290	M3 family oligoendopeptidase
TIGR02291	alpha-L-glutamate ligase-like protein
TIGR02292	YecA family protein
TIGR02294	nickel ABC transporter, nickel/metallophore periplasmic binding protein
TIGR02295	3,4-dihydroxyphenylacetate 2,3-dioxygenase
TIGR02296	4-hydroxyphenylacetate 3-monooxygenase, reductase component
TIGR02297	4-hydroxyphenylacetate catabolism regulatory protein HpaA
TIGR02298	3,4-dihydroxyphenylacetate 2,3-dioxygenase
TIGR02299	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
TIGR02300	TIGR02300 family protein
TIGR02301	TIGR02301 family protein
TIGR02302	TIGR02302 family protein
TIGR02306	RNA ligase (ATP)
TIGR02307	RNA ligase, Rnl2 family
TIGR02308	RNA ligase, T4 RnlA family
TIGR02309	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component
TIGR02310	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component
TIGR02311	4-hydroxy-2-oxoheptanedioate aldolase
TIGR02312	2-oxo-hepta-3-ene-1,7-dioic acid hydratase
TIGR02313	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase
TIGR02314	D-methionine ABC transporter, ATP-binding protein
TIGR02315	phosphonate ABC transporter ATP-binding protein
TIGR02316	propionate--CoA ligase
TIGR02317	methylisocitrate lyase
TIGR02318	phosphonate metabolism protein PhnM
TIGR02319	carboxyvinyl-carboxyphosphonate phosphorylmutase
TIGR02320	phosphoenolpyruvate mutase
TIGR02321	phosphonopyruvate hydrolase
TIGR02322	phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN
TIGR02323	phosphonate C-P lyase system protein PhnK
TIGR02324	phosphonate C-P lyase system protein PhnL
TIGR02325	phosphonate metabolism transcriptional regulator PhnF
TIGR02326	2-aminoethylphosphonate--pyruvate transaminase
TIGR02329	propionate catabolism operon regulatory protein PrpR
TIGR02330	2-methylcitrate dehydratase
TIGR02332	4-hydroxyphenylacetate permease
TIGR02333	Fe/S-dependent 2-methylisocitrate dehydratase AcnD
TIGR02334	2-methylaconitate cis-trans isomerase PrpF
TIGR02335	phosphonoacetate hydrolase
TIGR02336	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
TIGR02337	homoprotocatechuate degradation operon regulator HpaR
TIGR02338	prefoldin subunit beta
TIGR02339	thermosome subunit
TIGR02340	T-complex protein 1 subunit alpha
TIGR02341	T-complex protein 1 subunit beta
TIGR02342	T-complex protein 1 subunit delta
TIGR02343	T-complex protein 1 subunit epsilon
TIGR02344	T-complex protein 1 subunit gamma
TIGR02345	T-complex protein 1 subunit eta
TIGR02346	T-complex protein 1 subunit theta
TIGR02347	T-complex protein 1 subunit zeta
TIGR02348	chaperonin GroEL
TIGR02349	molecular chaperone DnaJ
TIGR02350	molecular chaperone DnaK
TIGR02351	2-iminoacetate synthase ThiH
TIGR02352	glycine oxidase ThiO
TIGR02354	thiamine biosynthesis protein ThiF
TIGR02355	molybdopterin-synthase adenylyltransferase MoeB
TIGR02356	thiazole biosynthesis adenylyltransferase ThiF
TIGR02357	energy-coupled thiamine transporter ThiT
TIGR02358	putative hydroxymethylpyrimidine transporter CytX
TIGR02359	energy coupling factor transporter S component ThiW
TIGR02360	4-hydroxybenzoate 3-monooxygenase
TIGR02361	glycerone kinase
TIGR02362	DhaKLM operon coactivator DhaQ
TIGR02363	dihydroxyacetone kinase subunit DhaK
TIGR02365	dihydroxyacetone kinase subunit L
TIGR02366	dihydroxyacetone kinase transcriptional activator DhaS
TIGR02368	[dimethylamine--corrinoid protein] Co-methyltransferase
TIGR02369	[trimethylamine--corrinoid protein] Co-methyltransferase
TIGR02371	alanine dehydrogenase
TIGR02372	4-coumarate--CoA ligase
TIGR02373	photoactive yellow protein
TIGR02375	pseudoazurin
TIGR02376	nitrite reductase, copper-containing
TIGR02378	nitrite reductase small subunit NirD
TIGR02379	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
TIGR02380	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
TIGR02381	cold shock domain-containing protein CspD
TIGR02382	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase
TIGR02383	RNA chaperone Hfq
TIGR02384	type II toxin-antitoxin system RelB/DinJ family antitoxin
TIGR02385	type II toxin-antitoxin system mRNA interferase toxin, RelE/StbE family
TIGR02386	DNA-directed RNA polymerase subunit beta'
TIGR02387	DNA-directed RNA polymerase subunit gamma
TIGR02388	DNA-directed RNA polymerase subunit beta''
TIGR02389	DNA-directed RNA polymerase subunit A''
TIGR02390	DNA-directed RNA polymerase subunit A'
TIGR02391	TIGR02391 family protein
TIGR02392	RNA polymerase sigma factor RpoH
TIGR02393	RNA polymerase sigma factor RpoD
TIGR02394	RNA polymerase sigma factor RpoS
TIGR02395	RNA polymerase sigma-54 factor
TIGR02396	COQ9 family protein
TIGR02397	DNA polymerase III subunit gamma/tau
TIGR02398	glucosylglycerol-phosphate synthase
TIGR02399	glucosylglycerol 3-phosphatase
TIGR02400	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
TIGR02401	malto-oligosyltrehalose synthase
TIGR02402	malto-oligosyltrehalose trehalohydrolase
TIGR02403	alpha,alpha-phosphotrehalase
TIGR02404	trehalose operon repressor
TIGR02405	trehalose operon repressor
TIGR02406	diaminobutyrate acetyltransferase
TIGR02407	diaminobutyrate--2-oxoglutarate transaminase
TIGR02408	ectoine hydroxylase
TIGR02409	gamma-butyrobetaine dioxygenase
TIGR02410	trimethyllysine dioxygenase
TIGR02411	leukotriene-A(4) hydrolase/aminopeptidase
TIGR02412	aminopeptidase N
TIGR02413	YrzI family small protein
TIGR02414	aminopeptidase N
TIGR02415	acetoin reductase
TIGR02416	carbon-monoxide dehydrogenase large subunit
TIGR02418	acetolactate synthase AlsS
TIGR02420	RNA polymerase-binding protein DksA
TIGR02421	flavohemoglobin expression-modulating QEGLA motif protein
TIGR02422	protocatechuate 3,4-dioxygenase subunit beta
TIGR02423	protocatechuate 3,4-dioxygenase subunit alpha
TIGR02424	pca operon transcription factor PcaQ
TIGR02425	4-carboxymuconolactone decarboxylase
TIGR02426	3-carboxy-cis,cis-muconate cycloisomerase
TIGR02427	3-oxoadipate enol-lactonase
TIGR02428	3-oxoacid CoA-transferase subunit B
TIGR02429	3-oxoacid CoA-transferase subunit A
TIGR02430	3-oxoadipyl-CoA thiolase
TIGR02432	tRNA lysidine(34) synthetase TilS
TIGR02434	precorrin-6A synthase (deacetylating)
TIGR02435	precorrin-3B synthase
TIGR02436	four helix bundle protein
TIGR02437	fatty acid oxidation complex subunit alpha FadB
TIGR02438	catechol 1,2-dioxygenase
TIGR02439	catechol 1,2-dioxygenase
TIGR02440	fatty acid oxidation complex subunit alpha FadJ
TIGR02441	fatty acid oxidation complex subunit alpha
TIGR02442	putative cobaltochelatase
TIGR02443	YheV family putative metal-binding protein
TIGR02444	TIGR02444 family protein
TIGR02445	acetyl-CoA C-acyltransferase FadA
TIGR02446	acetyl-CoA C-acyltransferase FadI
TIGR02449	TIGR02449 family protein
TIGR02450	TIGR02450 family Trp-rich protein
TIGR02452	TIGR02452 family protein
TIGR02453	TIGR02453 family protein
TIGR02454	cobalt ECF transporter T component CbiQ
TIGR02455	maltose alpha-D-glucosyltransferase
TIGR02456	maltose alpha-D-glucosyltransferase
TIGR02460	mannosyl-3-phosphoglycerate synthase
TIGR02461	mannosyl-3-phosphoglycerate phosphatase
TIGR02462	pyranose oxidase
TIGR02463	mannosyl-3-phosphoglycerate phosphatase-related protein
TIGR02465	chlorocatechol 1,2-dioxygenase
TIGR02467	precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE
TIGR02468	sucrose-phosphate synthase
TIGR02469	precorrin-6Y C5,15-methyltransferase (decarboxylating) subunit CbiT
TIGR02470	sucrose synthase
TIGR02473	flagellar export protein FliJ
TIGR02474	pectate lyase
TIGR02475	cobalamin biosynthesis protein CobW
TIGR02476	5,6-dimethylbenzimidazole synthase
TIGR02477	diphosphate--fructose-6-phosphate 1-phosphotransferase
TIGR02478	6-phosphofructokinase
TIGR02479	FliA/WhiG family RNA polymerase sigma factor
TIGR02480	flagellar motor switch protein FliN
TIGR02482	6-phosphofructokinase
TIGR02484	tricarballylate utilization 4Fe-4S protein TcuB
TIGR02485	FAD-dependent tricarballylate dehydrogenase TcuA
TIGR02486	reductive dehalogenase
TIGR02487	anaerobic ribonucleoside-triphosphate reductase
TIGR02488	flagellar basal-body rod protein FlgG
TIGR02489	flagellar hook protein FlgE
TIGR02490	flagellar basal-body rod protein FlgF
TIGR02491	anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02492	flagellar hook-associated protein FlgK
TIGR02493	pyruvate formate lyase-activating protein
TIGR02494	glycyl-radical enzyme activating protein
TIGR02495	anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02497	EscI/YscI/HrpB family type III secretion system inner rod protein
TIGR02498	EscG/YscG/SsaH family type III secretion system needle protein co-chaperone
TIGR02499	HrpE/YscL family type III secretion apparatus protein
TIGR02500	EscD/YscD/HrpQ family type III secretion system inner membrane ring protein
TIGR02501	EscE/YscE/SsaE family type III secretion system needle protein co-chaperone
TIGR02502	YscX family type III secretion protein
TIGR02503	type III secretion chaperone SycN
TIGR02504	adenosylcobalamin-dependent ribonucleoside-diphosphate reductase
TIGR02505	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent
TIGR02506	ribonucleoside-diphosphate reductase subunit alpha
TIGR02507	tetrahydromethanopterin S-methyltransferase subunit F
TIGR02508	YscG family type III secretion protein
TIGR02509	YopR family type III secretion effector
TIGR02510	ribonucleoside-diphosphate reductase subunit alpha
TIGR02511	TyeA family type III secretion system gatekeeper subunit
TIGR02513	YscB family type III secretion system chaperone
TIGR02514	type III secretion system needle length determinant
TIGR02515	type IV pilus secretin PilQ
TIGR02516	EscC/YscC/HrcC family type III secretion system outer membrane ring protein
TIGR02517	type II secretion system protein GspD
TIGR02518	acetaldehyde dehydrogenase (acetylating)
TIGR02519	pilus (MSHA type) biogenesis protein MshL
TIGR02520	PilN family type IVB pilus formation outer membrane protein
TIGR02521	type IV pilus biogenesis/stability protein PilW
TIGR02523	type IV pilus modification protein PilV
TIGR02524	Dot/Icm secretion system ATPase DotB
TIGR02525	plasmid transfer ATPase TraJ
TIGR02527	Dot/Icm secretion system protein IcmQ
TIGR02528	EutP/PduV family microcompartment system protein
TIGR02532	prepilin-type N-terminal cleavage/methylation domain-containing protein
TIGR02533	type II secretion system protein GspE
TIGR02538	type IV-A pilus assembly ATPase PilB
TIGR02539	O-phospho-L-seryl-tRNA:Cys-tRNA synthase
TIGR02540	putative glutathione peroxidase Gpx7
TIGR02541	flagellar assembly peptidoglycan hydrolase FlgJ
TIGR02542	TANFOR domain-containing protein
TIGR02544	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein
TIGR02546	EscN/YscN/HrcN family type III secretion system ATPase
TIGR02547	type I-E CRISPR-associated protein Cse1/CasA
TIGR02548	type I-E CRISPR-associated protein Cse2/CasB
TIGR02549	CRISPR-associated DxTHG motif protein
TIGR02550	flagellar hook-associated protein 3
TIGR02551	YscQ/HrcQ family type III secretion apparatus protein
TIGR02552	CesD/SycD/LcrH family type III secretion system chaperone
TIGR02553	IpaD/SipD/SspD family type III secretion system needle tip protein
TIGR02554	PrgH/EprH family type III secretion apparatus protein
TIGR02555	type III secretion apparatus protein OrgA/MxiK
TIGR02556	TIGR02556 family CRISPR-associated protein
TIGR02557	type III secretion protein HpaP
TIGR02558	type III secretion protein HrpB2
TIGR02559	type III secretion protein HrpB7
TIGR02560	type III secretion protein HrpB4
TIGR02561	HrpB1 family type III secretion system apparatus protein
TIGR02562	type I-F CRISPR-associated helicase Cas3
TIGR02563	type I-F CRISPR-associated endoribonuclease Cas6/Csy4
TIGR02564	type I-F CRISPR-associated protein Csy1
TIGR02565	type I-F CRISPR-associated protein Csy2
TIGR02566	type I-F CRISPR-associated protein Csy3
TIGR02567	type III secretion system chaperone YscW
TIGR02568	YopN family type III secretion system gatekeeper subunit
TIGR02569	TIGR02569 family protein
TIGR02570	type I-U CRISPR-associated protein Cas7
TIGR02571	ComE operon protein 2
TIGR02572	type III secretion system regulator LcrR
TIGR02573	type III secretion protein LcrG
TIGR02577	type III-B CRISPR-associated protein Cas10/Cmr2
TIGR02578	type III-A CRISPR-associated protein Cas10/Csm1
TIGR02579	CRISPR-associated protein Csx3
TIGR02580	type III-B CRISPR module RAMP protein Cmr4
TIGR02581	CRISPR-associated RAMP protein
TIGR02582	type III-A CRISPR-associated RAMP protein Csm3
TIGR02583	type I-A CRISPR-associated protein Cas7/Csa2
TIGR02584	TIGR02584 family CRISPR-associated protein
TIGR02585	type I-B CRISPR-associated protein Cas7/Cst2/DevR
TIGR02586	type I-MYXAN CRISPR-associated protein Cas5/Cmx5/DevS
TIGR02587	TIGR02587 family membrane protein
TIGR02588	TIGR02588 family protein
TIGR02589	type I-C CRISPR-associated protein Cas7/Csd2
TIGR02590	type I-B CRISPR-associated protein Cas7/Csh2
TIGR02591	type I-B CRISPR-associated protein Cas8b/Csh1
TIGR02592	type I-B CRISPR-associated protein Cas5
TIGR02593	CRISPR-associated protein Cas5
TIGR02594	TIGR02594 family protein
TIGR02595	PEP-CTERM sorting domain-containing protein
TIGR02596	Verru_Chthon cassette protein D
TIGR02597	TIGR02597 family protein
TIGR02598	Verru_Chthon cassette protein B
TIGR02599	Verru_Chthon cassette protein C
TIGR02600	Verru_Chthon cassette protein A
TIGR02602	exosortase
TIGR02606	type II toxin-antitoxin system ParD family antitoxin
TIGR02607	addiction module antidote protein, HigA family
TIGR02611	TIGR02611 family protein
TIGR02612	mobile mystery protein A
TIGR02613	mobile mystery protein B
TIGR02614	putative lipid II flippase FtsW
TIGR02615	stage V sporulation protein E
TIGR02616	tryptophanase leader peptide
TIGR02617	tryptophanase
TIGR02618	tyrosine phenol-lyase
TIGR02619	putative CRISPR-associated protein
TIGR02620	CRISPR-associated protein Csx16
TIGR02621	type I-U CRISPR-associated helicase/endonuclease Cas3
TIGR02622	CDP-glucose 4,6-dehydratase
TIGR02623	glucose-1-phosphate cytidylyltransferase
TIGR02624	rhamnulose-1-phosphate aldolase
TIGR02625	L-rhamnose mutarotase
TIGR02627	rhamnulokinase
TIGR02628	L-fuculokinase
TIGR02629	L-rhamnose catabolism isomerase
TIGR02630	xylose isomerase
TIGR02631	xylose isomerase
TIGR02632	bifunctional rhamnulose-1-phosphate aldolase/short-chain dehydrogenase
TIGR02633	D-xylose ABC transporter ATP-binding protein
TIGR02634	D-xylose ABC transporter substrate-binding protein
TIGR02635	L-rhamnose isomerase
TIGR02636	galactose-1-epimerase
TIGR02637	rhamnose ABC transporter substrate-binding protein
TIGR02638	lactaldehyde reductase
TIGR02639	ATP-dependent Clp protease ATP-binding subunit ClpA
TIGR02640	gas vesicle protein GvpN
TIGR02641	gas vesicle protein GvpC
TIGR02643	thymidine phosphorylase
TIGR02644	pyrimidine-nucleoside phosphorylase
TIGR02646	TIGR02646 family protein
TIGR02647	TIGR02647 family protein
TIGR02648	DNA replication terminus site-binding protein
TIGR02649	ribonuclease BN
TIGR02650	ribonuclease Z
TIGR02651	ribonuclease Z
TIGR02652	TIGR02652 family protein
TIGR02653	protease Lon-related BREX system protein BrxL
TIGR02654	circadian clock protein KaiB
TIGR02655	circadian clock protein KaiC
TIGR02656	plastocyanin
TIGR02657	amicyanin
TIGR02658	methylamine dehydrogenase (amicyanin) large subunit
TIGR02659	methylamine dehydrogenase (amicyanin) small subunit
TIGR02660	homocitrate synthase
TIGR02661	methylamine dehydrogenase accessory protein MauD
TIGR02662	ADP-ribosyl-[dinitrogen reductase] hydrolase
TIGR02663	nitrogen fixation protein NifX
TIGR02665	molybdenum cofactor guanylyltransferase
TIGR02666	GTP 3',8-cyclase MoaA
TIGR02667	molybdenum cofactor biosynthesis protein B
TIGR02668	GTP 3',8-cyclase MoaA
TIGR02669	SpoIID/LytB domain-containing protein
TIGR02670	type I CRISPR-associated protein Cas8a1/Csx8
TIGR02671	type I-A CRISPR-associated protein Cas8a2/Csx9
TIGR02672	type III-A CRISPR-associated protein Csm6
TIGR02673	cell division ATP-binding protein FtsE
TIGR02674	CRISPR-associated RAMP protein Csx10
TIGR02677	TIGR02677 family protein
TIGR02678	TIGR02678 family protein
TIGR02679	TIGR02679 family protein
TIGR02680	TIGR02680 family protein
TIGR02682	CRISPR-associated protein Csx11
TIGR02684	putative addiction module antidote protein
TIGR02685	pteridine reductase
TIGR02686	conjugative relaxase
TIGR02687	BREX-1 system phosphatase PglZ type A
TIGR02688	BREX system Lon protease-like protein BrxL
TIGR02689	arsenate reductase, glutathione/glutaredoxin type
TIGR02690	arsenical resistance protein ArsH
TIGR02691	arsenate reductase (thioredoxin)
TIGR02692	CCA tRNA nucleotidyltransferase
TIGR02693	arsenate reductase (azurin) large subunit
TIGR02694	arsenate reductase (azurin) small subunit
TIGR02695	azurin
TIGR02698	CopY/TcrY family copper transport repressor
TIGR02699	archaeoflavoprotein AfpA
TIGR02700	dihydromethanopterin reductase (acceptor)
TIGR02701	carboxysome shell carbonic anhydrase
TIGR02702	iron-sulfur cluster biosynthesis transcriptional regulator SufR
TIGR02703	carboxysome peptide A
TIGR02704	carboxysome peptide B
TIGR02705	nucleoside triphosphatase YtkD
TIGR02706	phosphate butyryltransferase
TIGR02707	butyrate kinase
TIGR02708	L-lactate oxidase
TIGR02709	branched-chain phosphotransacylase
TIGR02710	TIGR02710 family CRISPR-associated protein
TIGR02711	cation/acetate symporter ActP
TIGR02712	urea carboxylase
TIGR02713	allophanate hydrolase
TIGR02714	ring-opening amidohydrolase
TIGR02715	AtzE family amidohydrolase
TIGR02716	C-20 methyltransferase BchU
TIGR02718	RhtX/FptX family siderophore transporter
TIGR02719	poly-beta-hydroxybutyrate-responsive repressor
TIGR02720	pyruvate oxidase
TIGR02721	thiamine kinase
TIGR02722	penicillin-binding protein activator LpoB
TIGR02723	phenylphosphate carboxylase subunit alpha
TIGR02724	phenylphosphate carboxylase subunit beta
TIGR02725	phenylphosphate carboxylase subunit gamma
TIGR02726	phenylphosphate carboxylase subunit delta
TIGR02727	5-formyltetrahydrofolate cyclo-ligase
TIGR02728	spore coat protein GerQ
TIGR02729	Obg family GTPase CgtA
TIGR02730	carotene isomerase
TIGR02731	15-cis-phytoene desaturase
TIGR02732	9,9'-di-cis-zeta-carotene desaturase
TIGR02733	C-3',4' desaturase CrtD
TIGR02734	phytoene desaturase
TIGR02735	phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR02736	cytochrome c oxidase, cbb3-type, CcoQ subunit
TIGR02737	cytochrome c oxidase assembly factor CtaG
TIGR02738	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB
TIGR02739	type-F conjugative transfer system pilin assembly protein TraF
TIGR02741	type-F conjugative transfer system pilin chaperone TraQ
TIGR02742	type-F conjugative transfer system pilin assembly protein TrbC
TIGR02743	type-F conjugative transfer system protein TraW
TIGR02744	type-F conjugative transfer system protein TrbI
TIGR02745	cytochrome c oxidase accessory protein CcoG
TIGR02746	type IV secretion system protein TraC
TIGR02747	type IV conjugative transfer system protein TraV
TIGR02748	heptaprenyl diphosphate synthase component II
TIGR02749	solanesyl diphosphate synthase
TIGR02750	type-F conjugative transfer system mating-pair stabilization protein TraN
TIGR02751	phosphoenolpyruvate carboxylase
TIGR02752	demethylmenaquinone methyltransferase
TIGR02753	superoxide dismutase, Ni
TIGR02754	nickel-type superoxide dismutase maturation protease
TIGR02755	type-F conjugative transfer system pilin acetylase TraX
TIGR02756	type-F conjugative transfer system secretin TraK
TIGR02757	TIGR02757 family protein
TIGR02758	type IV conjugative transfer system pilin TraA
TIGR02759	type IV conjugative transfer system coupling protein TraD
TIGR02760	conjugative transfer relaxase/helicase TraI
TIGR02761	type IV conjugative transfer system protein TraE
TIGR02762	type IV conjugative transfer system protein TraL
TIGR02763	scaffolding protein
TIGR02764	polysaccharide deacetylase family sporulation protein PdaB
TIGR02765	DASH family cryptochrome
TIGR02766	cryptochrome photoreceptor
TIGR02767	Ti-type conjugative transfer system protein TraG
TIGR02768	Ti-type conjugative transfer relaxase TraA
TIGR02769	nickel import ATP-binding protein NikE
TIGR02770	nickel import ATP-binding protein NikD
TIGR02771	conjugative transfer signal peptidase TraF
TIGR02772	Ku protein
TIGR02773	helicase-exonuclease AddAB subunit AddB
TIGR02774	ATP-dependent nuclease subunit B
TIGR02775	P-type conjugative transfer protein TrbG
TIGR02776	DNA ligase D
TIGR02780	P-type conjugative transfer protein TrbJ
TIGR02781	P-type conjugative transfer protein VirB9
TIGR02782	P-type conjugative transfer ATPase TrbB
TIGR02783	P-type conjugative transfer protein TrbL
TIGR02784	double-strand break repair helicase AddA
TIGR02785	helicase-exonuclease AddAB subunit AddA
TIGR02786	double-strand break repair protein AddB
TIGR02787	GTP-sensing pleiotropic transcriptional regulator CodY
TIGR02788	P-type DNA transfer ATPase VirB11
TIGR02789	nickel ABC transporter permease subunit NikB
TIGR02790	nickel ABC transporter permease subunit NikC
TIGR02791	P-type DNA transfer protein VirB5
TIGR02792	protocatechuate 4,5-dioxygenase subunit alpha
TIGR02793	nickel-responsive transcriptional regulator NikR
TIGR02794	cell envelope integrity protein TolA
TIGR02795	tol-pal system protein YbgF
TIGR02796	protein TolQ
TIGR02797	tonB-system energizer ExbB
TIGR02798	4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase
TIGR02799	tol-pal system-associated acyl-CoA thioesterase
TIGR02800	Tol-Pal system beta propeller repeat protein TolB
TIGR02801	protein TolR
TIGR02802	peptidoglycan-associated lipoprotein Pal
TIGR02803	TonB system transport protein ExbD
TIGR02804	TonB system transport protein ExbD
TIGR02805	TonB-system energizer ExbB
TIGR02806	clostripain
TIGR02807	type I-MYXAN CRISPR-associated protein Cas6/Cmx6
TIGR02808	TIGR02808 family protein
TIGR02809	phasin family protein
TIGR02810	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit
TIGR02812	fatty acid metabolism transcriptional regulator FadR
TIGR02814	PfaD family polyunsaturated fatty acid/polyketide biosynthesis protein
TIGR02816	PfaB family protein
TIGR02817	zinc-binding alcohol dehydrogenase family protein
TIGR02818	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
TIGR02819	formaldehyde dehydrogenase, glutathione-independent
TIGR02820	S-(hydroxymethyl)glutathione synthase
TIGR02821	S-formylglutathione hydrolase
TIGR02822	zinc-binding alcohol dehydrogenase family protein
TIGR02823	acryloyl-CoA reductase
TIGR02825	leukotriene B4 12-hydroxydehydrogenase/15-oxo-prostaglandin 13-reductase
TIGR02826	anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02827	anaerobic ribonucleoside-triphosphate reductase
TIGR02829	stage III sporulation protein AE
TIGR02830	stage III sporulation protein AG
TIGR02831	stage II sporulation protein M
TIGR02832	sporulation protein YunB
TIGR02833	stage III sporulation protein AB
TIGR02834	putative sporulation protein YtxC
TIGR02835	RNA polymerase sporulation sigma factor SigE
TIGR02836	stage IV sporulation protein A
TIGR02837	stage II sporulation protein R
TIGR02838	stage V sporulation protein AC
TIGR02839	stage V sporulation protein AE
TIGR02840	sporulation membrane protein YtaF
TIGR02841	spore protease YyaC
TIGR02842	cytochrome o ubiquinol oxidase subunit III
TIGR02843	cytochrome o ubiquinol oxidase subunit I
TIGR02844	sporulation transcriptional regulator SpoIIID
TIGR02845	stage V sporulation protein AD
TIGR02846	RNA polymerase sporulation sigma factor SigK
TIGR02847	cytochrome o ubiquinol oxidase subunit IV
TIGR02848	stage III sporulation protein AC
TIGR02849	stage III sporulation protein AD
TIGR02850	RNA polymerase sporulation sigma factor SigG
TIGR02851	stage V sporulation protein T
TIGR02852	dipicolinate synthase subunit B
TIGR02853	dipicolinic acid synthetase subunit A
TIGR02854	sigma-E processing peptidase SpoIIGA
TIGR02855	sporulation peptidase YabG
TIGR02856	sporulation protein YqfC
TIGR02857	thiol reductant ABC exporter subunit CydD
TIGR02858	stage III sporulation protein AA
TIGR02859	RNA polymerase sporulation sigma factor SigH
TIGR02860	SpoIVB peptidase
TIGR02861	H-type small acid-soluble spore protein
TIGR02862	pro-sigmaK processing inhibitor BofA
TIGR02863	small, acid-soluble spore protein, SspJ family
TIGR02864	small acid-soluble spore protein O
TIGR02865	stage II sporulation protein E
TIGR02866	cytochrome c oxidase subunit II
TIGR02868	thiol reductant ABC exporter subunit CydC
TIGR02869	spore cortex-lytic enzyme
TIGR02870	stage II sporulation protein D
TIGR02871	sporulation integral membrane protein YlbJ
TIGR02872	sporulation integral membrane protein YtvI
TIGR02874	sporulation protein YtfJ
TIGR02875	sporulation transcription factor Spo0A
TIGR02876	sporulation protein YqfD
TIGR02877	sporulation protein YhbH
TIGR02878	sporulation protein YpjB
TIGR02880	CbbX protein
TIGR02881	stage V sporulation protein K
TIGR02882	cytochrome aa3 quinol oxidase subunit I
TIGR02883	N-acetylmuramoyl-L-alanine amidase CwlD
TIGR02884	delta-lactam-biosynthetic de-N-acetylase
TIGR02885	RNA polymerase sporulation sigma factor SigF
TIGR02886	anti-sigma F factor antagonist
TIGR02887	Ger(x)C family spore germination protein
TIGR02888	YlmC/YmxH family sporulation protein
TIGR02889	germination protein YpeB
TIGR02891	cytochrome c oxidase subunit I
TIGR02892	sporulation protein YabP
TIGR02893	spore cortex biosynthesis protein YabQ
